test_id,label,round,run_dir,config_file,data_source,database,executor_mode,deployment,test_mode,zipfian_exponent,target_rate,max_concurrency,concurrency,connection_pool_size,num_accounts,initial_balance,warmup_duration_secs,test_duration_secs,num_db_nodes,num_client_nodes,db_machine,client_machine,run_id,runs_completed,runs_planned,run_duration_secs,throughput_tps,latency_p50_us,latency_p95_us,latency_p99_us,latency_p999_us,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,completed_transfers,rejected_transfers,failed_transfers,dropped_transfers,balance_verified,agg_throughput_mean,agg_throughput_stddev,agg_throughput_cv,agg_throughput_min,agg_throughput_max,agg_latency_p50_mean_us,agg_latency_p95_mean_us,agg_latency_p99_mean_us,agg_latency_p999_mean_us,agg_total_completed,agg_total_rejected,agg_total_failed,agg_total_dropped,agg_error_rate,achieved_pct_of_target_rate,dropped_pct_of_offered,coordinator_warnings,coordinator_errors,notes
1,local/tigerbeetle/sanity,local-sanity,run_20260709_212453,config.sanity-tigerbeetle.toml,results/run_20260709_212453/results.json,tigerbeetle,,local,max_throughput,1.0,,,4,,1000,1000000,5,10,1,1,,,1,1,1,15.528,2463.7,1504,1960,2103,6138,1.504,1.96,2.103,6.138,24637,0,0,not tracked,True,2463.7,0.0,0.0,2463.7,2463.7,1504.0,1960.0,2103.0,6138.0,24637,0,0,not tracked,0.0,,,,,"10s sanity run, 1000 accounts, 1 node"
2,local/postgresql-standard/sanity-a,local-sanity,run_20260712_182452,config.sanity-postgresql.toml,results/run_20260712_182452/results.json,postgresql,,local,max_throughput,1.0,,,4,8,1000,1000000,5,10,1,1,,,1,1,1,15.458,2135.7,1442,1945,1989,2005,1.442,1.945,1.989,2.005,21357,0,0,not tracked,True,2135.7,0.0,0.0,2135.7,2135.7,1442.0,1945.0,1989.0,2005.0,21357,0,0,not tracked,0.0,,,,,"10s sanity run, 1000 accounts, 1 node"
3,local/postgresql-standard/sanity-b,local-sanity,run_20260712_182810,config.sanity-postgresql.toml,results/run_20260712_182810/results.json,postgresql,,local,max_throughput,1.0,,,4,8,1000,1000000,5,10,1,1,,,1,1,1,15.026,2503.5,1446,1946,1990,2687,1.446,1.946,1.99,2.687,25035,0,0,not tracked,True,2503.5,0.0,0.0,2503.5,2503.5,1446.0,1946.0,1990.0,2687.0,25035,0,0,not tracked,0.0,,,,,"10s sanity run, 1000 accounts, 1 node; repeat of sanity-a"
4,cloud/tigerbeetle/z1.0/rate5k-conc1k,original,run_20260714_073817,config.cloud-tigerbeetle-fixedrate.toml,results/run_20260714_073817/results.json (+ duplicated in tigerbeetle-vs-postgresql.md),tigerbeetle,,cloud,fixed_rate,1.0,5000,1000,,,100000,1000000,120,300,3,5,n2-highmem-4,n2-standard-2,1,3,3,422.395,4064.48,32264,509381,749088,988138,32.264,509.381,749.088,988.138,1212565,6780,0,not tracked,True,4097.14,24.47,0.005972,4064.48,4123.37,32288.3,508197.7,747922.3,986920.0,3666766,20664,0,not tracked,0.0,81.9,,,,
4,cloud/tigerbeetle/z1.0/rate5k-conc1k,original,run_20260714_073817,config.cloud-tigerbeetle-fixedrate.toml,results/run_20260714_073817/results.json (+ duplicated in tigerbeetle-vs-postgresql.md),tigerbeetle,,cloud,fixed_rate,1.0,5000,1000,,,100000,1000000,120,300,3,5,n2-highmem-4,n2-standard-2,2,3,3,423.427,4123.37,32309,511095,754691,991998,32.309,511.095,754.691,991.998,1230415,6597,0,not tracked,True,4097.14,24.47,0.005972,4064.48,4123.37,32288.3,508197.7,747922.3,986920.0,3666766,20664,0,not tracked,0.0,81.9,,,,
4,cloud/tigerbeetle/z1.0/rate5k-conc1k,original,run_20260714_073817,config.cloud-tigerbeetle-fixedrate.toml,results/run_20260714_073817/results.json (+ duplicated in tigerbeetle-vs-postgresql.md),tigerbeetle,,cloud,fixed_rate,1.0,5000,1000,,,100000,1000000,120,300,3,5,n2-highmem-4,n2-standard-2,3,3,3,422.848,4103.58,32292,504117,739988,980624,32.292,504.117,739.988,980.624,1223786,7287,0,not tracked,True,4097.14,24.47,0.005972,4064.48,4123.37,32288.3,508197.7,747922.3,986920.0,3666766,20664,0,not tracked,0.0,81.9,,,,
5,cloud/postgresql-standard/z1.0/rate5k-conc1k,original,run_20260714_080715,config.cloud-postgresql-fixedrate.toml,results/run_20260714_080715/results.json (+ duplicated in tigerbeetle-vs-postgresql.md),postgresql,standard,cloud,fixed_rate,1.0,5000,1000,,20,100000,1000000,120,300,3,5,n2-highmem-4,n2-standard-2,1,3,3,423.302,2872.58,323758,582761,960881,1493684,323.758,582.761,960.881,1493.684,857566,4208,0,not tracked,True,2889.61,22.64,0.007834,2872.58,2921.61,324680.3,581080.3,959680.7,1491808.7,2588256,12397,0,not tracked,0.0,57.8,,,,
5,cloud/postgresql-standard/z1.0/rate5k-conc1k,original,run_20260714_080715,config.cloud-postgresql-fixedrate.toml,results/run_20260714_080715/results.json (+ duplicated in tigerbeetle-vs-postgresql.md),postgresql,standard,cloud,fixed_rate,1.0,5000,1000,,20,100000,1000000,120,300,3,5,n2-highmem-4,n2-standard-2,2,3,3,423.632,2921.61,322113,575016,953982,1486332,322.113,575.016,953.982,1486.332,872462,4020,0,not tracked,True,2889.61,22.64,0.007834,2872.58,2921.61,324680.3,581080.3,959680.7,1491808.7,2588256,12397,0,not tracked,0.0,57.8,,,,
5,cloud/postgresql-standard/z1.0/rate5k-conc1k,original,run_20260714_080715,config.cloud-postgresql-fixedrate.toml,results/run_20260714_080715/results.json (+ duplicated in tigerbeetle-vs-postgresql.md),postgresql,standard,cloud,fixed_rate,1.0,5000,1000,,20,100000,1000000,120,300,3,5,n2-highmem-4,n2-standard-2,3,3,3,423.546,2874.66,328170,585464,964179,1495410,328.17,585.464,964.179,1495.41,858228,4169,0,not tracked,True,2889.61,22.64,0.007834,2872.58,2921.61,324680.3,581080.3,959680.7,1491808.7,2588256,12397,0,not tracked,0.0,57.8,,,,
6,cloud/tigerbeetle/z2.0/rate5k-conc1k,original,run_20260715_062158,config.cloud-tigerbeetle-hotspot.toml,tigerbeetle-vs-postgresql.md (embedded json; results/ dir not retained),tigerbeetle,,cloud,fixed_rate,2.0,5000,1000,,,100000,1000000,120,300,3,5,n2-highmem-4,n2-standard-2,1,3,3,422.781,4418.89,31757,359272,583990,736514,31.757,359.272,583.99,736.514,916611,409055,0,not tracked,True,4461.39,30.21,0.006771,4418.89,4486.4,32086.7,357501.7,560414.7,725978.3,2775927,1239321,0,not tracked,0.0,89.2,,,,
