concurrency,pool_size,tps,results_directory
16,4,2946.5,/Users/adamw/projects/tb-perf/results/run_20260116_104917
64,4,2173.7,/Users/adamw/projects/tb-perf/results/run_20260116_105001
8,4,3594.3,/Users/adamw/projects/tb-perf/results/run_20260116_105042
4,4,2821.8,/Users/adamw/projects/tb-perf/results/run_20260116_105123
8,8,2001.3,/Users/adamw/projects/tb-perf/results/run_20260116_105204
16,8,3545.4,/Users/adamw/projects/tb-perf/results/run_20260116_105247
32,8,3213.3,/Users/adamw/projects/tb-perf/results/run_20260116_105328
8,2,2031.5,/Users/adamw/projects/tb-perf/results/run_20260116_105409
4,2,2462.0,/Users/adamw/projects/tb-perf/results/run_20260116_105450
16,16,3338.7,/Users/adamw/projects/tb-perf/results/run_20260116_105532
32,16,2808.9,/Users/adamw/projects/tb-perf/results/run_20260116_105613
6,4,2626.6,/Users/adamw/projects/tb-perf/results/run_20260116_105655
10,4,2336.3,/Users/adamw/projects/tb-perf/results/run_20260116_105737
8,3,3118.3,/Users/adamw/projects/tb-perf/results/run_20260116_105819
8,5,3215.2,/Users/adamw/projects/tb-perf/results/run_20260116_105900
8,6,3335.8,/Users/adamw/projects/tb-perf/results/run_20260116_105942
12,4,2198.1,/Users/adamw/projects/tb-perf/results/run_20260116_110024
7,4,2310.6,/Users/adamw/projects/tb-perf/results/run_20260116_110105
9,4,2719.5,/Users/adamw/projects/tb-perf/results/run_20260116_110147
64,8,2659.1,/Users/adamw/projects/tb-perf/results/run_20260116_110229
128,8,2644.2,/Users/adamw/projects/tb-perf/results/run_20260116_110311
64,16,3034.4,/Users/adamw/projects/tb-perf/results/run_20260116_110353
32,4,2712.7,/Users/adamw/projects/tb-perf/results/run_20260116_110434
256,8,3267.6,/Users/adamw/projects/tb-perf/results/run_20260116_110516
32,32,1536.7,/Users/adamw/projects/tb-perf/results/run_20260116_110558
128,16,3602.7,/Users/adamw/projects/tb-perf/results/run_20260116_110641
96,16,3209.2,/Users/adamw/projects/tb-perf/results/run_20260116_110723
160,16,3139.1,/Users/adamw/projects/tb-perf/results/run_20260116_110805
128,12,2835.7,/Users/adamw/projects/tb-perf/results/run_20260116_110848
128,20,2314.2,/Users/adamw/projects/tb-perf/results/run_20260116_110930
100,16,2056.8,/Users/adamw/projects/tb-perf/results/run_20260116_111013
140,16,2339.0,/Users/adamw/projects/tb-perf/results/run_20260116_111101
128,14,3092.9,/Users/adamw/projects/tb-perf/results/run_20260116_111144
128,18,2649.8,/Users/adamw/projects/tb-perf/results/run_20260116_111227
256,16,2473.2,/Users/adamw/projects/tb-perf/results/run_20260116_111309
1,4,867.7,/Users/adamw/projects/tb-perf/results/run_20260116_111351
2,4,1684.7,/Users/adamw/projects/tb-perf/results/run_20260116_111432
16,10,3229.9,/Users/adamw/projects/tb-perf/results/run_20260116_111514
