concurrency,tps,results_directory
1,524.1,/Users/adamw/projects/tb-perf/results/run_20260116_100809
4,686.2,/Users/adamw/projects/tb-perf/results/run_20260116_100850
16,2824.4,/Users/adamw/projects/tb-perf/results/run_20260116_100931
64,6010.0,/Users/adamw/projects/tb-perf/results/run_20260116_101013
256,10283.9,/Users/adamw/projects/tb-perf/results/run_20260116_101116
1024,5370.9,/Users/adamw/projects/tb-perf/results/run_20260116_101157
512,7561.3,/Users/adamw/projects/tb-perf/results/run_20260116_101239
128,9391.4,/Users/adamw/projects/tb-perf/results/run_20260116_101322
200,9522.2,/Users/adamw/projects/tb-perf/results/run_20260116_101404
300,10699.0,/Users/adamw/projects/tb-perf/results/run_20260116_101447
350,10546.5,/Users/adamw/projects/tb-perf/results/run_20260116_101534
400,9087.6,/Users/adamw/projects/tb-perf/results/run_20260116_101616
280,8569.9,/Users/adamw/projects/tb-perf/results/run_20260116_101658
320,9203.2,/Users/adamw/projects/tb-perf/results/run_20260116_101739
2048,4991.5,/Users/adamw/projects/tb-perf/results/run_20260116_101822
4096,3879.1,/Users/adamw/projects/tb-perf/results/run_20260116_101904
32,3735.7,/Users/adamw/projects/tb-perf/results/run_20260116_101947
8192,2041.4,/Users/adamw/projects/tb-perf/results/run_20260116_102028
16384,3261.4,/Users/adamw/projects/tb-perf/results/run_20260116_102110
96,7345.9,/Users/adamw/projects/tb-perf/results/run_20260116_102157
160,7339.6,/Users/adamw/projects/tb-perf/results/run_20260116_102238
240,9222.3,/Users/adamw/projects/tb-perf/results/run_20260116_102329
260,8299.9,/Users/adamw/projects/tb-perf/results/run_20260116_102411
32768,4754.6,/Users/adamw/projects/tb-perf/results/run_20260116_102453
65536,7909.5,/Users/adamw/projects/tb-perf/results/run_20260116_102549
100000,8593.8,/Users/adamw/projects/tb-perf/results/run_20260116_102710
200000,9892.8,/Users/adamw/projects/tb-perf/results/run_20260116_102852
300000,9386.6,/Users/adamw/projects/tb-perf/results/run_20260116_103034
500000,9338.6,/Users/adamw/projects/tb-perf/results/run_20260116_103216
1000000,8921.1,/Users/adamw/projects/tb-perf/results/run_20260116_103358
2000000,9857.6,/Users/adamw/projects/tb-perf/results/run_20260116_103539
3000000,9641.7,/Users/adamw/projects/tb-perf/results/run_20260116_103722
5000000,8524.5,/Users/adamw/projects/tb-perf/results/run_20260116_103904
