concurrency,pool_size,tps,results_directory
8,4,2621.6,/Users/adamw/projects/tb-perf/results/run_20260117_185747
16,4,2511.7,/Users/adamw/projects/tb-perf/results/run_20260117_185830
4,4,2387.7,/Users/adamw/projects/tb-perf/results/run_20260117_185913
32,4,2086.9,/Users/adamw/projects/tb-perf/results/run_20260117_185959
8,8,3672.1,/Users/adamw/projects/tb-perf/results/run_20260117_190044
16,8,3121.7,/Users/adamw/projects/tb-perf/results/run_20260117_190129
4,8,2437.6,/Users/adamw/projects/tb-perf/results/run_20260117_190212
32,8,2573.4,/Users/adamw/projects/tb-perf/results/run_20260117_190255
16,16,2689.2,/Users/adamw/projects/tb-perf/results/run_20260117_190339
6,8,2714.0,/Users/adamw/projects/tb-perf/results/run_20260117_190423
10,8,2258.4,/Users/adamw/projects/tb-perf/results/run_20260117_190508
8,6,1928.1,/Users/adamw/projects/tb-perf/results/run_20260117_190558
8,10,2614.8,/Users/adamw/projects/tb-perf/results/run_20260117_190647
64,8,2656.7,/Users/adamw/projects/tb-perf/results/run_20260117_190732
64,16,2110.1,/Users/adamw/projects/tb-perf/results/run_20260117_190816
128,8,2736.1,/Users/adamw/projects/tb-perf/results/run_20260117_190858
128,16,2235.6,/Users/adamw/projects/tb-perf/results/run_20260117_190942
8,2,1220.2,/Users/adamw/projects/tb-perf/results/run_20260117_191026
8,7,3052.3,/Users/adamw/projects/tb-perf/results/run_20260117_191109
8,9,3339.7,/Users/adamw/projects/tb-perf/results/run_20260117_191152
256,8,3268.2,/Users/adamw/projects/tb-perf/results/run_20260117_191234
32,16,2616.0,/Users/adamw/projects/tb-perf/results/run_20260117_191316
12,8,3080.3,/Users/adamw/projects/tb-perf/results/run_20260117_191358
7,8,3252.9,/Users/adamw/projects/tb-perf/results/run_20260117_191442
9,8,2412.5,/Users/adamw/projects/tb-perf/results/run_20260117_191524
1,4,1318.7,/Users/adamw/projects/tb-perf/results/run_20260117_191605
2,4,1888.8,/Users/adamw/projects/tb-perf/results/run_20260117_191648
64,4,2554.5,/Users/adamw/projects/tb-perf/results/run_20260117_191730
256,16,3298.4,/Users/adamw/projects/tb-perf/results/run_20260117_191812
8,12,2952.8,/Users/adamw/projects/tb-perf/results/run_20260117_191855
32,32,2531.5,/Users/adamw/projects/tb-perf/results/run_20260117_191939
