concurrency,tps,results_directory
1,38.4,/Users/adamw/projects/tb-perf/results/run_20260116_092257
4,85.8,/Users/adamw/projects/tb-perf/results/run_20260116_092345
16,442.1,/Users/adamw/projects/tb-perf/results/run_20260116_092432
64,1292.1,/Users/adamw/projects/tb-perf/results/run_20260116_092520
256,5881.0,/Users/adamw/projects/tb-perf/results/run_20260116_092607
1024,11677.1,/Users/adamw/projects/tb-perf/results/run_20260116_092655
4096,29786.4,/Users/adamw/projects/tb-perf/results/run_20260116_092746
8192,36273.5,/Users/adamw/projects/tb-perf/results/run_20260116_092834
16384,42486.7,/Users/adamw/projects/tb-perf/results/run_20260116_092922
32768,50938.3,/Users/adamw/projects/tb-perf/results/run_20260116_093011
65536,64376.9,/Users/adamw/projects/tb-perf/results/run_20260116_093058
131072,61274.8,/Users/adamw/projects/tb-perf/results/run_20260116_093145
48000,61259.9,/Users/adamw/projects/tb-perf/results/run_20260116_093241
80000,66936.2,/Users/adamw/projects/tb-perf/results/run_20260116_093328
100000,76308.1,/Users/adamw/projects/tb-perf/results/run_20260116_093630
120000,74502.9,/Users/adamw/projects/tb-perf/results/run_20260116_093720
90000,58215.8,/Users/adamw/projects/tb-perf/results/run_20260116_093810
110000,53216.6,/Users/adamw/projects/tb-perf/results/run_20260116_093859
95000,59264.8,/Users/adamw/projects/tb-perf/results/run_20260116_093948
105000,58528.6,/Users/adamw/projects/tb-perf/results/run_20260116_094037
150000,65859.3,/Users/adamw/projects/tb-perf/results/run_20260116_094126
200000,63027.0,/Users/adamw/projects/tb-perf/results/run_20260116_094217
250000,74490.1,/Users/adamw/projects/tb-perf/results/run_20260116_094315
300000,89843.0,/Users/adamw/projects/tb-perf/results/run_20260116_094407
400000,119412.3,/Users/adamw/projects/tb-perf/results/run_20260116_094459
500000,131341.1,/Users/adamw/projects/tb-perf/results/run_20260116_094551
750000,141098.6,/Users/adamw/projects/tb-perf/results/run_20260116_094644
1000000,171966.1,/Users/adamw/projects/tb-perf/results/run_20260116_094741
1500000,222328.3,/Users/adamw/projects/tb-perf/results/run_20260116_094842
2000000,283198.8,/Users/adamw/projects/tb-perf/results/run_20260116_094955
3000000,407608.4,/Users/adamw/projects/tb-perf/results/run_20260116_095116
5000000,361500.3,/Users/adamw/projects/tb-perf/results/run_20260116_095254
4000000,385683.8,/Users/adamw/projects/tb-perf/results/run_20260116_095442
2500000,347299.7,/Users/adamw/projects/tb-perf/results/run_20260116_095629
3500000,393560.4,/Users/adamw/projects/tb-perf/results/run_20260116_095759
