concurrency,tps,error_rate,results_dir
1,9.2,0,/Users/adamw/projects/tb-perf/results/run_20260118_191257
2,58.9,0,/Users/adamw/projects/tb-perf/results/run_20260118_191404
4,97.5,0,/Users/adamw/projects/tb-perf/results/run_20260118_191503
8,193.7,0,/Users/adamw/projects/tb-perf/results/run_20260118_191605
16,329.6,0,/Users/adamw/projects/tb-perf/results/run_20260118_191705
32,773.3,0,/Users/adamw/projects/tb-perf/results/run_20260118_191916
64,1392.2,0,/Users/adamw/projects/tb-perf/results/run_20260118_192014
128,3075.3,0,/Users/adamw/projects/tb-perf/results/run_20260118_192110
256,4979.8,0,/Users/adamw/projects/tb-perf/results/run_20260118_192209
512,12366.6,0,/Users/adamw/projects/tb-perf/results/run_20260118_192311
1024,16486.9,0,/Users/adamw/projects/tb-perf/results/run_20260118_192407
2048,16982.6,0,/Users/adamw/projects/tb-perf/results/run_20260118_192456
4096,35222.1,0,/Users/adamw/projects/tb-perf/results/run_20260118_192552
8192,31364.1,0,/Users/adamw/projects/tb-perf/results/run_20260118_192650
6144,29052.0,0,/Users/adamw/projects/tb-perf/results/run_20260118_192747
3072,33401.8,0,/Users/adamw/projects/tb-perf/results/run_20260118_193014
5120,41354.4,0,/Users/adamw/projects/tb-perf/results/run_20260118_193110
4608,37653.4,0,/Users/adamw/projects/tb-perf/results/run_20260118_193207
5632,26186.1,0,/Users/adamw/projects/tb-perf/results/run_20260118_193421
10000,36981.3,0,/Users/adamw/projects/tb-perf/results/run_20260118_195042
20000,45018.3,0,/Users/adamw/projects/tb-perf/results/run_20260118_195248
30000,56717.5,0,/Users/adamw/projects/tb-perf/results/run_20260118_195354
40000,64274.5,0,/Users/adamw/projects/tb-perf/results/run_20260118_195458
50000,75051.8,0,/Users/adamw/projects/tb-perf/results/run_20260118_195552
60000,74565.4,0,/Users/adamw/projects/tb-perf/results/run_20260118_195653
70000,68989.5,0,/Users/adamw/projects/tb-perf/results/run_20260118_195749
80000,76327.9,0,/Users/adamw/projects/tb-perf/results/run_20260118_195844
90000,60331.5,0,/Users/adamw/projects/tb-perf/results/run_20260118_195947
100000,68506.4,0,/Users/adamw/projects/tb-perf/results/run_20260118_200042
