pool_size,concurrency,tps,error_rate,results_dir
8,1,1402.4166666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_194753
8,4,3462.3,0,/Users/adamw/projects/tb-perf/results/run_20260119_195423
8,16,4915.516666666666,0,/Users/adamw/projects/tb-perf/results/run_20260119_200052
8,64,5148.966666666666,0,/Users/adamw/projects/tb-perf/results/run_20260119_200721
16,1,1422.2,0,/Users/adamw/projects/tb-perf/results/run_20260119_201355
16,4,4286.333333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_202023
16,8,6314.1,0,/Users/adamw/projects/tb-perf/results/run_20260119_203950
16,16,6567.466666666666,0,/Users/adamw/projects/tb-perf/results/run_20260119_202651
16,32,6391.083333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_204619
16,64,6617.433333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_203320
16,128,6059.116666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_213157
24,64,5736.3,0,/Users/adamw/projects/tb-perf/results/run_20260119_213827
32,4,3691.6666666666665,0,/Users/adamw/projects/tb-perf/results/run_20260119_205253
32,16,6332.583333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_205922
32,64,5441.733333333334,0,/Users/adamw/projects/tb-perf/results/run_20260119_210550
64,4,4138.366666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_211224
64,16,6327.316666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_211852
64,64,5135.25,0,/Users/adamw/projects/tb-perf/results/run_20260119_212521
