pool_size,concurrency,tps,error_rate,results_dir
8,1,1307.8833333333334,0,/Users/adamw/projects/tb-perf/results/run_20260119_085926
8,4,2804.3166666666666,30.039874099298565,/Users/adamw/projects/tb-perf/results/run_20260119_090601
8,16,2238.5333333333333,67.24760597244948,/Users/adamw/projects/tb-perf/results/run_20260119_091235
8,64,2214.383333333333,67.0167816890919,/Users/adamw/projects/tb-perf/results/run_20260119_091913
16,1,1311.9,0,/Users/adamw/projects/tb-perf/results/run_20260119_092557
16,4,3920.383333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_093230
16,16,2029.5,72.18211723854343,/Users/adamw/projects/tb-perf/results/run_20260119_093906
16,64,2296.4166666666665,74.93615117074377,/Users/adamw/projects/tb-perf/results/run_20260119_094548
32,1,1296.7666666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_095236
32,4,3331.483333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_095911
32,16,1780.2166666666667,77.93607611540423,/Users/adamw/projects/tb-perf/results/run_20260119_100546
32,64,2511.9166666666665,67.8873377481186,/Users/adamw/projects/tb-perf/results/run_20260119_101226
32,8,2192.05,67.6951644556666,/Users/adamw/projects/tb-perf/results/run_20260119_101906
64,1,1256.55,0,/Users/adamw/projects/tb-perf/results/run_20260119_102552
64,4,2421.7166666666667,37.69835995283525,/Users/adamw/projects/tb-perf/results/run_20260119_103225
64,2,2863.383333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_103902
128,4,3513.483333333333,22.87833002860843,/Users/adamw/projects/tb-perf/results/run_20260119_104537
128,2,2806.3,0,/Users/adamw/projects/tb-perf/results/run_20260119_105211
256,4,3507.9333333333334,12.98869344136919,/Users/adamw/projects/tb-perf/results/run_20260119_105846
16,2,3091.116666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_110524
16,8,1389.3666666666666,81.02644989632624,/Users/adamw/projects/tb-perf/results/run_20260119_111156
32,2,3026.366666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_111837
24,4,3674.733333333333,13.893618683121144,/Users/adamw/projects/tb-perf/results/run_20260119_112509
16,6,2283.4666666666667,59.90189708559421,/Users/adamw/projects/tb-perf/results/run_20260119_113143
20,4,3208.983333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_113820
