pool_size,concurrency,tps,error_rate,results_dir
8,1,932.15,0,/Users/adamw/projects/tb-perf/results/run_20260119_114843
8,4,3382.8333333333335,0,/Users/adamw/projects/tb-perf/results/run_20260119_115519
8,16,5070.366666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_120154
8,64,5040.783333333334,0,/Users/adamw/projects/tb-perf/results/run_20260119_120834
16,1,1410.6833333333334,0,/Users/adamw/projects/tb-perf/results/run_20260119_121514
16,4,4058.9,0,/Users/adamw/projects/tb-perf/results/run_20260119_122148
16,16,6300.933333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_122822
16,64,6364.233333333334,0,/Users/adamw/projects/tb-perf/results/run_20260119_123457
32,1,1544.3,0,/Users/adamw/projects/tb-perf/results/run_20260119_124137
32,4,3910.233333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_124811
32,16,5357.533333333334,0,/Users/adamw/projects/tb-perf/results/run_20260119_125444
32,64,4900.266666666666,0,/Users/adamw/projects/tb-perf/results/run_20260119_130119
64,16,5014.466666666666,0,/Users/adamw/projects/tb-perf/results/run_20260119_130756
64,64,4335.583333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_131429
16,128,5555.066666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_132105
16,256,5270.3,0,/Users/adamw/projects/tb-perf/results/run_20260119_132741
16,32,6180.683333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_133417
16,48,5778.433333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_134052
16,80,5814.483333333334,0,/Users/adamw/projects/tb-perf/results/run_20260119_134729
16,2,2936.4666666666667,0,/Users/adamw/projects/tb-perf/results/run_20260119_135408
16,8,6219.083333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_140042
8,32,5206.65,0,/Users/adamw/projects/tb-perf/results/run_20260119_140722
12,64,5124.933333333333,0,/Users/adamw/projects/tb-perf/results/run_20260119_141357
